algorithm,N,k,comparisons,time,entry_time
radix_sort,126485,1000,379455,0.5395667552947998,1652160154.791892
merge_sort,372,100000,2162,0.0017635822296142578,1652160154.8240979
quick_sort,308,10,5820,0.0017795562744140625,1652160154.8260484
merge_sort,9102,100,94426,0.06785798072814941,1652160154.8940647
quick_sort,471486,1000,117142265,25.342863082885742,1652160180.2399156
merge_sort,568986,1000,8829980,5.8074657917022705,1652160186.1601698
merge_sort,126485,10000000,1567630,1.0688042640686035,1652160187.3649685
radix_sort,542,100,1084,0.00139617919921875,1652160187.3969822
merge_sort,59636,10000000,659286,0.45633697509765625,1652160187.8535874
radix_sort,686648,10000000,4806536,6.892982006072998,1652160194.76176
merge_sort,255,10000000,1331,0.001119375228881836,1652160204.4792032
merge_sort,19306,10,232400,0.16112565994262695,1652160204.6405005
quick_sort,954,10,48271,0.012452125549316406,1652160204.6577334
radix_sort,212,100,424,0.0005960464477539062,1652160204.6587446
radix_sort,13257,100,26514,0.03541064262390137,1652160204.6943586
radix_sort,308,10000000,2156,0.003577709197998047,1652160204.7012532
quick_sort,3556,1000,47683,0.024283647537231445,1652160204.7257445
quick_sort,40949,100000,801932,0.3922598361968994,1652160205.119067
merge_sort,2947,1000,24245,0.018951892852783203,1652160205.1479132
quick_sort,13257,1000,250565,0.1096343994140625,1652160205.2584386
radix_sort,145,10,145,0.00024008750915527344,1652160205.262008
merge_sort,655,100000,4214,0.003283262252807617,1652160205.2653987
merge_sort,175,10,999,0.0008091926574707031,1652160205.2664614
radix_sort,9102,10,9102,0.01361393928527832,1652160205.2801836
quick_sort,954,10000000,9492,0.005202054977416992,1652160205.287728
radix_sort,1000000,10000000,7000000,9.974766969680786,1652160215.2641337
radix_sort,100,1000,300,0.00045418739318847656,1652160215.5079908
quick_sort,28117,100,4161751,0.9103593826293945,1652160216.418477
quick_sort,86851,1000,4992105,1.3689064979553223,1652160217.794317
radix_sort,1151,1000,3453,0.004673480987548828,1652160217.819776
quick_sort,120,100,839,0.0004019737243652344,1652160217.8205352
merge_sort,308,100,1717,0.0014476776123046875,1652160217.8220713
merge_sort,3556,1000,30899,0.024602890014648438,1652160217.846846
